,Fall,College,Major_Name,Total,Female,Male,Caucasian,Asian American,African American,Hispanic,Native American,M/F
6676,2013,Fine And Applied Arts,Nondegree,207.0,34.0,173.0,41.0,5.0,3.0,5.0,0.0,5.09
6611,2013,Fine And Applied Arts,Nondegree,119.0,46.0,73.0,77.0,1.0,1.0,3.0,0.0,1.59
6691,2013,Fine And Applied Arts,Graphic Design,77.0,52.0,25.0,51.0,15.0,2.0,5.0,0.0,0.48
6632,2013,Fine And Applied Arts,Nondegree,72.0,29.0,43.0,0.0,0.0,0.0,0.0,0.0,1.48
6690,2013,Fine And Applied Arts,Dance,66.0,54.0,12.0,44.0,3.0,11.0,5.0,0.0,0.22
6693,2013,Fine And Applied Arts,Industrial Design,108.0,56.0,52.0,39.0,27.0,7.0,6.0,0.0,0.93
6769,2013,Fine And Applied Arts,Nondegree,183.0,96.0,87.0,54.0,5.0,4.0,12.0,0.0,0.91
6694,2013,Fine And Applied Arts,Instrumental Music,77.0,38.0,39.0,54.0,6.0,0.0,6.0,1.0,1.03
6807,2013,Fine And Applied Arts,Nondegree,22.0,10.0,12.0,5.0,0.0,0.0,3.0,0.0,1.2
6706,2013,Fine And Applied Arts,Photography,28.0,19.0,9.0,17.0,4.0,3.0,4.0,0.0,0.47
6713,2013,Fine And Applied Arts,Nondegree,44.0,20.0,24.0,30.0,7.0,1.0,4.0,0.0,1.2
6711,2013,Fine And Applied Arts,Voice,26.0,21.0,5.0,22.0,0.0,2.0,1.0,0.0,0.24
6710,2013,Fine And Applied Arts,Urban Planning,126.0,63.0,63.0,59.0,8.0,6.0,13.0,0.0,1.0
6709,2013,Fine And Applied Arts,Theatre,176.0,96.0,80.0,122.0,3.0,14.0,18.0,1.0,0.83
6705,2013,Fine And Applied Arts,Painting,25.0,16.0,9.0,15.0,2.0,3.0,3.0,0.0,0.56
6703,2013,Fine And Applied Arts,Nondegree,34.0,20.0,14.0,7.0,0.0,1.0,0.0,0.0,0.7
6702,2013,Fine And Applied Arts,New Media,20.0,9.0,11.0,9.0,4.0,1.0,1.0,0.0,1.22
6699,2013,Fine And Applied Arts,Music Education,180.0,100.0,80.0,145.0,12.0,5.0,8.0,0.0,0.8
6697,2013,Fine And Applied Arts,Music,346.0,177.0,169.0,146.0,20.0,8.0,16.0,1.0,0.95
6696,2013,Fine And Applied Arts,Landscape Architecture,97.0,58.0,39.0,46.0,4.0,2.0,4.0,0.0,0.67
6695,2013,Fine And Applied Arts,Jazz Performance,22.0,3.0,19.0,18.0,0.0,3.0,0.0,0.0,6.33
6467,2012,Fine And Applied Arts,Art Education,71.0,54.0,17.0,50.0,4.0,2.0,5.0,0.0,0.31
6466,2012,Fine And Applied Arts,Architecture,196.0,80.0,116.0,110.0,9.0,5.0,17.0,0.0,1.45
6465,2012,Fine And Applied Arts,Architectural Studies,482.0,208.0,274.0,275.0,42.0,13.0,46.0,2.0,1.32
6458,2012,Fine And Applied Arts,Nondegree,228.0,43.0,184.0,53.0,8.0,1.0,5.0,0.0,4.28
6391,2012,Fine And Applied Arts,Nondegree,124.0,50.0,74.0,77.0,2.0,1.0,2.0,1.0,1.48
