,Fall,College,Major_Name,Total,Female,Male,Caucasian,Asian American,African American,Hispanic,Native American,M/F
5582,2008,Engineering,Aerospace Engineering,514,60,453,326,64,12,22,3,7.55
5589,2008,Engineering,Electrical & Computer Engr,504,60,444,159,56,7,12,1,7.4
5588,2008,Engineering,Computer Science,980,121,858,426,155,14,17,1,7.1
5587,2008,Engineering,Computer Engineering,446,46,398,227,91,19,29,0,8.66
5586,2008,Engineering,Civil Engineering,955,219,735,584,83,20,33,2,3.36
5585,2008,Engineering,Bioengineering,173,72,101,102,39,1,3,1,1.41
5590,2008,Engineering,Electrical Engineering,804,86,717,331,197,18,36,0,8.34
5591,2008,Engineering,Engineering Mechanics,75,13,61,51,9,0,3,0,4.7
5603,2008,Engineering,Theoretical & Applied Mechans,47,6,41,19,0,0,1,0,6.84
5592,2008,Engineering,Engineering Physics,131,13,118,99,15,1,5,1,9.08
5598,2008,Engineering,Mechanical Engineering,1099,129,968,695,113,25,35,1,7.51
5597,2008,Engineering,Materials Science & Engr,439,100,339,229,72,7,9,1,3.39
5596,2008,Engineering,Industrial Engineering,125,39,86,51,13,5,2,0,2.21
5593,2008,Engineering,Environ Engr In Civil Engr,75,41,34,23,4,0,5,0,0.83
5400,2007,Engineering,Industrial Engineering,87,28,59,43,10,3,2,0,2.11
5397,2007,Engineering,Environ Engr In Civil Engr,63,30,33,18,4,0,2,0,1.1
5396,2007,Engineering,Engineering Physics,134,13,121,102,16,0,7,0,9.31
5395,2007,Engineering,Engineering Mechanics,49,12,37,38,5,0,2,0,3.09
5394,2007,Engineering,Electrical Engineering,774,83,691,331,236,16,31,0,8.33
5393,2007,Engineering,Electrical & Computer Engr,521,73,448,154,74,6,14,0,6.14
5392,2007,Engineering,Computer Science,956,120,834,444,135,15,25,1,6.95
5391,2007,Engineering,Computer Engineering,434,35,397,247,90,20,26,0,11.35
5390,2007,Engineering,Civil Engineering,830,175,654,523,65,15,37,1,3.74
5401,2007,Engineering,Materials Science & Engr,398,93,305,218,62,7,7,1,3.28
5386,2007,Engineering,Aerospace Engineering,482,58,424,329,57,12,18,2,7.32
5388,2007,Engineering,Bioengineering,136,57,79,77,36,1,3,0,1.39
5402,2007,Engineering,Mechanical Engineering,1090,133,955,697,125,26,37,0,7.19
5407,2007,Engineering,Theoretical & Applied Mechans,51,8,43,20,0,0,1,0,5.38
5202,2006,Engineering,Engineering Physics,124,14,110,100,11,0,4,0,7.86
5196,2006,Engineering,Civil Engineering,793,155,638,490,57,17,34,2,4.12
5201,2006,Engineering,Engineering Mechanics,62,15,47,55,3,1,2,0,3.14
5200,2006,Engineering,Electrical Engineering,1195,150,1045,455,325,22,34,0,6.97
5199,2006,Engineering,Electrical & Computer Engr,163,28,135,44,24,1,5,0,4.83
5198,2006,Engineering,Computer Science,987,118,867,481,157,10,32,2,7.35
5197,2006,Engineering,Computer Engineering,477,36,439,273,100,27,25,0,12.2
5194,2006,Engineering,Bioengineering,101,41,60,60,22,2,3,0,1.47
5192,2006,Engineering,Aerospace Engineering,450,57,393,310,58,12,15,1,6.9
5203,2006,Engineering,Environ Engr In Civil Engr,58,24,34,21,2,1,0,0,1.42
5206,2006,Engineering,Industrial Engineering,81,23,58,46,10,2,2,0,2.53
5207,2006,Engineering,Materials Science & Engr,403,103,300,215,61,4,8,1,2.92
5213,2006,Engineering,Theoretical & Applied Mechans,61,9,52,21,0,0,1,0,5.78
5208,2006,Engineering,Mechanical Engineering,1079,125,952,710,122,23,46,3,7.62
5010,2005,Engineering,Computer Engineering,563,42,520,309,130,24,32,0,12.39
5015,2005,Engineering,Environ Engr In Civil Engr,61,28,33,23,3,2,1,0,1.18
5014,2005,Engineering,Engineering Physics,101,14,87,83,9,1,3,0,6.22
5013,2005,Engineering,Engineering Mechanics,78,15,63,69,3,1,2,0,4.2
5012,2005,Engineering,Electrical Engineering,1406,183,1223,531,383,24,31,2,6.69
5011,2005,Engineering,Computer Science,1064,119,943,539,177,12,31,2,7.93
5009,2005,Engineering,Civil Engineering,795,154,641,485,65,10,37,3,4.17
5008,2005,Engineering,Bioengineering,60,20,40,37,16,1,0,0,2
5006,2005,Engineering,Aerospace Engineering,429,61,368,311,50,6,12,1,6.04
5018,2005,Engineering,Industrial Engineering,81,27,54,50,10,0,2,0,2
5025,2005,Engineering,Theoretical & Applied Mechans,67,9,58,23,2,0,0,0,6.45
5019,2005,Engineering,Materials Science & Engr,383,95,288,200,50,7,9,1,3.04
5020,2005,Engineering,Mechanical Engineering,1055,121,931,700,131,19,42,4,7.7
4824,2004,Engineering,Engineering Physics,102,17,85,86,10,1,3,0,5
4823,2004,Engineering,Engineering Mechanics,72,14,58,64,3,1,2,0,4.15
4822,2004,Engineering,Electrical Engineering,1444,201,1243,517,416,27,27,2,6.19
4821,2004,Engineering,Computer Science,1192,137,1053,616,214,14,28,0,7.69
4820,2004,Engineering,Computer Engineering,636,48,588,357,149,20,30,0,12.25
4819,2004,Engineering,Civil Engineering,757,158,599,450,55,12,36,3,3.8
4818,2004,Engineering,Bioengineering,24,6,18,14,9,0,0,0,3
4816,2004,Engineering,Aerospace Engineering,433,73,359,325,40,8,16,0,4.92
4825,2004,Engineering,Environ Engr In Civil Engr,74,30,44,18,4,3,1,0,1.47
4828,2004,Engineering,Industrial Engineering,92,33,59,56,9,0,3,0,1.79
4829,2004,Engineering,Materials Science & Engr,408,108,300,210,60,8,15,1,2.78
4835,2004,Engineering,Theoretical & Applied Mechans,69,8,61,18,2,0,1,0,7.63
4830,2004,Engineering,Mechanical Engineering,1014,115,899,686,124,14,44,4,7.82
4634,2003,Engineering,Computer Science,1257,169,1088,615,238,25,23,2,6.44
4660,2003,Engineering,Civil Engineering,795,169,626,473,47,17,31,1,3.71
4670,2003,Engineering,Industrial Engineering,91,29,62,48,10,2,4,0,2.14
4668,2003,Engineering,Electrical Engineering,1423,220,1203,525,377,23,34,2,5.47
4661,2003,Engineering,Computer Engineering,756,73,683,411,198,35,41,0,9.36
4658,2003,Engineering,Aerospace Engineering,417,74,343,301,43,7,19,0,4.64
4673,2003,Engineering,Mechanical Engineering,954,109,845,638,101,13,37,3,7.76
4672,2003,Engineering,Materials Science & Engr,158,50,108,55,15,1,6,0,2.16
4676,2003,Engineering,Theoretical & Applied Mechans,66,7,59,18,1,0,1,0,8.43
4448,2002,Engineering,Computer Science,1348,178,1170,659,261,30,27,3,6.58
4483,2002,Engineering,Industrial Engineering,108,32,76,51,16,4,6,0,2.38
4481,2002,Engineering,Electrical Engineering,1298,210,1088,509,341,17,39,2,5.19
4474,2002,Engineering,Computer Engineering,825,87,738,424,241,42,48,1,8.49
